TTPIA A/V Box,format,TTPIAavid,NORMALIZED_CALL_NO,ttpia reel #,#,of,#,BIB_ID,date / range,extent,medium,new title,creator,description note,TITLE,reformatting note,,YYYY,,MM,,DD,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,03,of,03 c2,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,01,of,03 c1,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,01,of,03 c2,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,02,of,03 c1,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,02,of,03 c2,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,03,of,03 c1,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1740 FRAME NA,1740,03,of,03 c2,26351,1968,(1 TAPE),audio,"recording of a meeting with people of roi namur (kwajalein atoll) concerning aquisition of roi for dept. of defense, tt spokeman not identified, tape box says manny sproat.",,,"RECORDING OF A MEETING WITH PEOPLE OF ROI NAMUR (KWAJALEIN ATOLL) CONCERNING AQUISITION OF ROI FOR DEPT. OF DEFENSE, TT SPOKEMAN NOT IDENTIFIED, TAPE BOX SAYS MANNY SPROAT.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1746 FRAME NA,1746,01,of,02,26357,1975,"(6 TAPES, 6 CC)",audio,"series of radio program (political education) on the cnmi covenant (understanding the covenant) in english, chammorros and carolinian.",,,"SERIES OF RADIO PROGRAM (POLITICAL EDUCATION) ON THE CNMI COVENANT (UNDERSTANDING THE COVENANT) IN ENGLISH, CHAMMORROS AND CAROLINIAN.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1746 FRAME NA,1746,02,of,02,26357,1975,"(6 TAPES, 6 CC)",audio,"series of radio program (political education) on the cnmi covenant (understanding the covenant) in english, chammorros and carolinian.",,,"SERIES OF RADIO PROGRAM (POLITICAL EDUCATION) ON THE CNMI COVENANT (UNDERSTANDING THE COVENANT) IN ENGLISH, CHAMMORROS AND CAROLINIAN.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1753 FRAME NA,1753,01,of,03 c1,26364,1974,"(2 REELS, 2 PARTS)",audio,"Interview with senator edward pangelinan, chairman of marianas political status commission, december 1974.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH SENATOR EDWARD PANGELINAN, CHAIRMAN OF MARIANAS POLITICAL STATUS COMMISSION, DECEMBER 1974.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1753 FRAME NA,1753,02,of,03 c1,26364,1974,"(2 REELS, 2 PARTS)",audio,"Interview with senator edward pangelinan, chairman of marianas political status commission, december 1974.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH SENATOR EDWARD PANGELINAN, CHAIRMAN OF MARIANAS POLITICAL STATUS COMMISSION, DECEMBER 1974.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1753 FRAME NA,1753,03,of,03 c1,26364,1974,"(2 REELS, 2 PARTS)",audio,"Interview with senator edward pangelinan, chairman of marianas political status commission, december 1974.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH SENATOR EDWARD PANGELINAN, CHAIRMAN OF MARIANAS POLITICAL STATUS COMMISSION, DECEMBER 1974.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1753 FRAME NA,1753,03,of,03 c2,26364,1974,"(2 REELS, 2 PARTS)",audio,"Interview with senator edward pangelinan, chairman of marianas political status commission, december 1974.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH SENATOR EDWARD PANGELINAN, CHAIRMAN OF MARIANAS POLITICAL STATUS COMMISSION, DECEMBER 1974.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1800 FRAME NA,1800,01,of,01,26391,1979,"(1 TAPE)(UNDATED, AROUND 1979-1980. JAMES STOVALL FOR FSM.",audio,recording of bi-lateral pol. status talks between the cfps & t (fsm) & the u. s. discussion of financial aid under the compact.,,,RECORDING OF BI-LATERAL POL. STATUS TALKS BETWEEN THE CFPS & T (FSM) & THE U. S. DISCUSSION OF FINANCIAL AID UNDER THE COMPACT.,,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1822 FRAME NA,1822,01,of,01 c1,26413,1971,(1 TAPE),audio,"discussion of real estate appraisal in micronesia. 5 minutes with no identification with special reference to kwajalein, 9/1/71. erased after first 5 minutes.",,,"DISCUSSION OF REAL ESTATE APPRAISAL IN MICRONESIA. 5 MINUTES WITH NO IDENTIFICATION WITH SPECIAL REFERENCE TO KWAJALEIN, 9/1/71. ERASED AFTER FIRST 5 MINUTES.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1822 FRAME NA,1822,01,of,01 c2,26413,1971,(1 TAPE),audio,"discussion of real estate appraisal in micronesia. 5 minutes with no identification with special reference to kwajalein, 9/1/71. erased after first 5 minutes.",,,"DISCUSSION OF REAL ESTATE APPRAISAL IN MICRONESIA. 5 MINUTES WITH NO IDENTIFICATION WITH SPECIAL REFERENCE TO KWAJALEIN, 9/1/71. ERASED AFTER FIRST 5 MINUTES.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1948 FRAME NA,1948,01,of,01,28623,1977,(SIDE II ONLY),audio,taped interview w/e. canhan on the election of the 1st constitutional gov't of the cnmi. also interview of electional officials in polling places and vote counting.,,,TAPED INTERVIEW W/E. CANHAN ON THE ELECTION OF THE 1ST CONSTITUTIONAL GOV'T OF THE CNMI. ALSO INTERVIEW OF ELECTIONAL OFFICIALS IN POLLING PLACES AND VOTE COUNTING.,,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1949 FRAME NA,1949,01,of,01,28624,1975,,audio,blow by blow account of 4/17/75 commonwealth plebiscite precinct by precinct with running commentory by sam mcphetress & interviews with plebiscite commissioner e. canhan.,,,BLOW BY BLOW ACCOUNT OF 4/17/75 COMMONWEALTH PLEBISCITE PRECINCT BY PRECINCT WITH RUNNING COMMENTORY BY SAM MCPHETRESS & INTERVIEWS WITH PLEBISCITE COMMISSIONER E. CANHAN.,,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1950 FRAME NA,1950,01,of,01,28625,1978,,audio,"sound track of inauguration of first constitutional government of the cnmi, january 9, 1978. also rota major's inaugural.",,,"SOUND TRACK OF INAUGURATION OF FIRST CONSTITUTIONAL GOVERNMENT OF THE CNMI, JANUARY 9, 1978. ALSO ROTA MAJOR'S INAUGURAL.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1951 FRAME NA,1951,01,of,01,28626,1976,,audio,Interview with dr. rao of undp on housing programs in the economic development plan.,ESG Dialog for Micronesia,,DIALOGUE FOR MICRONESIA (ESG) INTERVIEW WITH DR. RAO OF UNDP ON HOUSING PROGRAMS IN THE ECONOMIC DEVELOPMENT PLAN.,,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1952 FRAME NA,1952,01,of,01 c1,28627,1975,,audio,"Interview with mr. tatasy wainit, constitutional convention. taxation and finance committee.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH MR. TATASY WAINIT, CONSTITUTIONAL CONVENTION. TAXATION AND FINANCE COMMITTEE.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1952 FRAME NA,1952,01,of,01 c2,28627,1975,,audio,"Interview with mr. tatasy wainit, constitutional convention. taxation and finance committee.",ESG Dialog for Micronesia,,"ESG DIALOGUE FOR MICRONESIA INTERVIEW WITH MR. TATASY WAINIT, CONSTITUTIONAL CONVENTION. TAXATION AND FINANCE COMMITTEE.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1953 FRAME NA,1953,01,of,01,28628,1976,,audio,"Interview with dr. gerhart dahlke, undp, regarding training for economic development.",ESG Dialog for Micronesia,,"DIALOGUE FOR MICRONESIA INTERVIEW, DR. GERHART DAHLKE, UNDP, REGARDING TRAINING FOR ECONOMIC DEVELOPMENT.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1954 FRAME NA,1954,01,of,01,28629,1978,,audio,"tape of swearing in of first constitutional legislature (senate), january 10, 1978.",,,"TAPE OF SWEARING IN OF FIRST CONSTITUTIONAL LEGISLATURE (SENATE), JANUARY 10, 1978.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1955 FRAME NA,1955,01,of,01,28630,1975,,audio,"signing of the commonwealth covenant by amb. f. h. williams and edward pangelinan, february 15, 1975, mt. carmel auditorium, saipan. tape statements.",,,"SIGNING OF THE COMMONWEALTH COVENANT BY AMB. F. H. WILLIAMS AND EDWARD PANGELINAN, FEBRUARY 15, 1975, MT. CARMEL AUDITORIUM, SAIPAN. TAPE STATEMENTS.",,.,,,,,,
AC 02,audio cassette,,MFILM V10001 REEL 1956 FRAME NA,1956,01,of,01 c1,28631,1975,"(2 OF 3 TAPES, #1 MISSING)",audio,Referendum meeting - house on preparing people for the 1975 advisory referendum.,ESG Dialog for Micronesia,,ESG RADIO PROGRAM REFERENDUM MEETING - HOUSE ON PREPARING PEOPLE FOR THE 1975 ADVISORY REFERENDUM.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1956 FRAME NA,1956,01,of,01 c2,28631,1975,"(2 OF 3 TAPES, #1 MISSING)",audio,Referendum meeting - house on preparing people for the 1975 advisory referendum.,ESG Dialog for Micronesia,,ESG RADIO PROGRAM REFERENDUM MEETING - HOUSE ON PREPARING PEOPLE FOR THE 1975 ADVISORY REFERENDUM.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1957 FRAME NA,1957,01,of,01,28632,1977,,audio,"presentation by sen. andon amaraich, chairman of cfps&t, at esg work- shop in truk (undated but 1976-1977) political status negotiations.",,,"PRESENTATION BY SEN. ANDON AMARAICH, CHAIRMAN OF CFPS&T, AT ESG WORK- SHOP IN TRUK (UNDATED BUT 1976-1977) POLITICAL STATUS NEGOTIATIONS.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1958 FRAME NA,1958,01,of,01,28633,1975,,audio,recording of panel discussion by peacat satelite with members of the constitutional convention and students at the university of hawaii.,,,RECORDING OF PANEL DISCUSSION BY PEACAT SATELITE WITH MEMBERS OF THE CONSTITUTIONAL CONVENTION AND STUDENTS AT THE UNIVERSITY OF HAWAII.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1959 FRAME NA,1959,01,of,02,28634,1978,,audio,recording of discussions - at a college of micronesia seminar on political status moderated by e.s.g. researcher sam mcphetress.,,,RECORDING OF DISCUSSIONS - AT A COLLEGE OF MICRONESIA SEMINAR ON POLITICAL STATUS MODERATED BY E.S.G. RESEARCHER SAM MCPHETRESS.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1959 FRAME NA,1959,02,of,02,28634,1978,,audio,recording of discussions - at a college of micronesia seminar on political status moderated by e.s.g. researcher sam mcphetress.,,,RECORDING OF DISCUSSIONS - AT A COLLEGE OF MICRONESIA SEMINAR ON POLITICAL STATUS MODERATED BY E.S.G. RESEARCHER SAM MCPHETRESS.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1960 FRAME NA,1960,01,of,01,28635,1976,(DAMAGED TAPE),audio,"cassette recording of october 20, 1976 meeting of the commission on future political status and transition - status of transition.",,,"CASSETTE RECORDING OF OCTOBER 20, 1976 MEETING OF THE COMMISSION ON FUTURE POLITICAL STATUS AND TRANSITION - STATUS OF TRANSITION.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1961 FRAME NA,1961,01,of,01,28636,1984,,audio,"recording of u. n. chronicle interview with high commissioner janet j. mccoy at the united nations, may 31, 1984.",,,"RECORDING OF U. N. CHRONICLE INTERVIEW WITH HIGH COMMISSIONER JANET J. MCCOY AT THE UNITED NATIONS, MAY 31, 1984.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1962 FRAME NA,1962,01,of,01,28637,1977,(UNDATED BUT EITHR 1976 OR 1977),audio,"press conference in honolulu with the micronesian status negotiators (cfps&t) - law of the sea, free association, etc.",,,"PRESS CONFERENCE IN HONOLULU WITH THE MICRONESIAN STATUS NEGOTIATORS (CFPS&T) - LAW OF THE SEA, FREE ASSOCIATION, ETC.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1963 FRAME NA,1963,01,of,01,28638,1975,(ESSAY CONTEST WINNERS),audio,winning essays on the 10th aniversary of the congress of micronesia by miguel sablan demapan and joseph asanuma.,,,WINNING ESSAYS ON THE 10TH ANIVERSARY OF THE CONGRESS OF MICRONESIA BY MIGUEL SABLAN DEMAPAN AND JOSEPH ASANUMA.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1964 FRAME NA,1964,01,of,01,28639,1974,(UNDATED BUT ABOUT 1974),audio,taped report on the micronesian participation in the law of the sea negotiations.,,,TAPED REPORT ON THE MICRONESIAN PARTICIPATION IN THE LAW OF THE SEA NEGOTIATIONS.,,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1965 FRAME NA,1965,01,of,01,28640,1974,,audio,"opening statements by f. hayden williams and edward pangelinan at 5th round of marianas status talks in saipan, december 5, 1974.",,,"OPENING STATEMENTS BY F. HAYDEN WILLIAMS AND EDWARD PANGELINAN AT 5TH ROUND OF MARIANAS STATUS TALKS IN SAIPAN, DECEMBER 5, 1974.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,01,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,02,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,03,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,04,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,05,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,06,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,07,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 03,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,08,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,09,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,10,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1966 FRAME NA,1966,11,of,11,28641,1981,,audio,"discussion of translation of compact of free association - translators, negotiators and gov't officials. orientation of translators, february 9-12, 1981.",,,"DISCUSSION OF TRANSLATION OF COMPACT OF FREE ASSOCIATION - TRANSLATORS, NEGOTIATORS AND GOV'T OFFICIALS. ORIENTATION OF TRANSLATORS, FEBRUARY 9-12, 1981.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1967 FRAME NA,1967,01,of,05,28642,1974,,audio,"audio tapes speeches, music, discussion at the last tt wide traditonal leaders's meeting in november 1974 in truk - micro. unity there.",,,"AUDIO TAPES SPEECHES, MUSIC, DISCUSSION AT THE LAST TT WIDE TRADITONAL LEADERS'S MEETING IN NOVEMBER 1974 IN TRUK - MICRO. UNITY THERE.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1967 FRAME NA,1967,02,of,05,28642,1974,,audio,"audio tapes speeches, music, discussion at the last tt wide traditonal leaders's meeting in november 1974 in truk - micro. unity there.",,,"AUDIO TAPES SPEECHES, MUSIC, DISCUSSION AT THE LAST TT WIDE TRADITONAL LEADERS'S MEETING IN NOVEMBER 1974 IN TRUK - MICRO. UNITY THERE.",,.,,,,,,
AC 04,audio cassette,,MFILM V10001 REEL 1967 FRAME NA,1967,03,of,05,28642,1974,,audio,"audio tapes speeches, music, discussion at the last tt wide traditonal leaders's meeting in november 1974 in truk - micro. unity there.",,,"AUDIO TAPES SPEECHES, MUSIC, DISCUSSION AT THE LAST TT WIDE TRADITONAL LEADERS'S MEETING IN NOVEMBER 1974 IN TRUK - MICRO. UNITY THERE.",,.,,,,,,
